adm4_pcode,rwi_max,rwi_mean,rwi_min
PH137401024,0.738382482,0.710124251,0.682798115
PH137401024,0.794317243,0.77836557,0.746536276
PH137401024,0.804374,0.798246166,0.788769422
PH137401024,0.810749449,0.770345192,0.671670179
PH137401025,0.738880612,0.686643555,0.655876606
PH137401025,0.738502418,0.687205235,0.659163396
PH137401025,0.738382482,0.687196392,0.660482912
PH137401025,0.738382482,0.688490565,0.665919514
PH137401025,0.794317243,0.734976918,0.6848522
PH137401025,0.804374,0.796900669,0.787911946
PH137401025,0.806704284,0.7940613,0.787026668
PH137401026,0.695817104,0.68786724,0.675124963
PH137401026,0.696201621,0.688846979,0.675124963
PH137401026,0.696201621,0.688287866,0.674314207
PH137401026,0.696195052,0.687376561,0.675326015
PH137401026,0.794317243,0.744656171,0.6848522
PH137401026,0.798615117,0.794774813,0.790998748
PH137401026,0.792256855,0.788464962,0.783036894
PH137401027,0.7648559,0.7003061,0.662327907
PH137401027,0.7648559,0.700461752,0.662327907
PH137401027,0.7648559,0.700061973,0.662327907
PH137401027,0.7648559,0.700307625,0.662327907
PH137401027,0.777159162,0.747192633,0.681921262
PH137401027,0.783609063,0.759081134,0.71132714
PH137401027,0.782547483,0.759076865,0.71523806
PH137503001,0.720391618,0.698997669,0.67760372
PH137503001,0.720391618,0.698997669,0.67760372
PH137503001,0.716174239,0.697946327,0.679718416
PH137503001,0.716174239,0.699369755,0.682565272
PH137503001,0.725740413,0.713028273,0.700316133
PH137503001,0.752329558,0.747778899,0.74322824
PH137503001,0.755614565,0.750793217,0.745971868
PH137503002,0.67760372,0.646079106,0.586599154
PH137503002,0.67760372,0.644128986,0.577687819
PH137503002,0.679718416,0.646328408,0.585232364
PH137503002,0.682565272,0.642970037,0.574933801
PH137503002,0.727980742,0.688164331,0.636196118
PH137503002,0.756087754,0.715563896,0.647375694
PH137503002,0.762191916,0.70940847,0.620061626
PH137503003,0.674034443,0.630316798,0.586599154
PH137503003,0.67709542,0.627391619,0.577687819
PH137503003,0.674034443,0.629633404,0.585232364
PH137503003,0.67141104,0.62317242,0.574933801
PH137503003,0.727980742,0.68208843,0.636196118
PH137503003,0.756087754,0.701731724,0.647375694
PH137503003,0.762191916,0.691126771,0.620061626
PH137503004,0.684119064,0.647223811,0.586599154
PH137503004,0.684119064,0.646444354,0.577687819
PH137503004,0.679683139,0.646240118,0.585232364
PH137503004,0.677191218,0.642525338,0.574933801
PH137503004,0.727980742,0.669522732,0.636196118
PH137503004,0.761606983,0.732806633,0.647375694
PH137503004,0.762191916,0.727970787,0.620061626
PH137503005,0.70940505,0.654158328,0.612059279
PH137503005,0.710089649,0.654428575,0.612059279
PH137503005,0.712180982,0.654702345,0.609441319
PH137503005,0.712180982,0.653820523,0.60793213
PH137503005,0.658585656,0.626685767,0.601521417
PH137503005,0.752680433,0.714047466,0.692080976
PH137503005,0.758515252,0.717536558,0.684442832
PH137503006,0.67760372,0.67760372,0.67760372
PH137503006,0.67760372,0.67760372,0.67760372
PH137503006,0.679718416,0.679718416,0.679718416
PH137503006,0.682565272,0.682565272,0.682565272
PH137503006,0.700316133,0.700316133,0.700316133
PH137503006,0.74322824,0.74322824,0.74322824
PH137503006,0.745971868,0.745971868,0.745971868
PH137503007,0.67760372,0.632101437,0.586599154
PH137503007,0.67760372,0.627645769,0.577687819
PH137503007,0.679718416,0.63247539,0.585232364
PH137503007,0.682565272,0.628749536,0.574933801
PH137503007,0.700316133,0.668256126,0.636196118
PH137503007,0.74322824,0.695301967,0.647375694
PH137503007,0.745971868,0.683016747,0.620061626
PH137503008,0.674034443,0.622402724,0.586599154
PH137503008,0.67709542,0.623320153,0.577687819
PH137503008,0.674034443,0.62228209,0.585232364
PH137503008,0.67141104,0.619465363,0.574933801
PH137503008,0.727980742,0.654262323,0.582765784
PH137503008,0.756087754,0.692286984,0.610038691
PH137503008,0.762191916,0.688483874,0.618773304
PH137503009,0.702703977,0.64778594,0.584004264
PH137503009,0.703146225,0.648787169,0.584004264
PH137503009,0.700080194,0.647185576,0.584004264
PH137503009,0.691206873,0.645364367,0.584022609
PH137503009,0.727980742,0.657430572,0.599172013
PH137503009,0.761606983,0.724969391,0.625790765
PH137503009,0.762191916,0.724568526,0.618325311
PH137503010,0.720391618,0.67705108,0.627321449
PH137503010,0.720391618,0.676373804,0.626510725
PH137503010,0.716174239,0.677023585,0.626510725
PH137503010,0.716174239,0.677664675,0.626869321
PH137503010,0.725740413,0.674455408,0.605035921
PH137503010,0.752680433,0.735023591,0.710066819
PH137503010,0.758515252,0.746055677,0.731285795
PH137503011,0.702703977,0.677032434,0.643197213
PH137503011,0.703146225,0.678031026,0.645750743
PH137503011,0.700080194,0.676615353,0.644569755
PH137503011,0.691206873,0.67474267,0.647130397
PH137503011,0.70663294,0.664692725,0.616160475
PH137503011,0.767293839,0.744494153,0.721017134
PH137503011,0.773120966,0.747023628,0.716974562
PH137503012,0.650533563,0.636733004,0.612059279
PH137503012,0.648292066,0.637633061,0.612059279
PH137503012,0.650533563,0.636583039,0.609441319
PH137503012,0.650533563,0.635647962,0.60793213
PH137503012,0.641600073,0.622103809,0.601521417
PH137503012,0.752680433,0.711530644,0.692080976
PH137503012,0.758515252,0.710611414,0.684442832
PH137503013,0.663078575,0.646515266,0.626306598
PH137503013,0.665306501,0.647221624,0.620859463
PH137503013,0.666313623,0.648571178,0.631565442
PH137503013,0.66773622,0.646758287,0.62669868
PH137503013,0.678153304,0.635973271,0.601521417
PH137503013,0.735625619,0.689012749,0.630658603
PH137503013,0.740181373,0.69596694,0.620192371
PH137503014,0.655030498,0.618566113,0.582721418
PH137503014,0.653201956,0.618971497,0.579507607
PH137503014,0.655030498,0.619659529,0.579507607
PH137503014,0.651651919,0.619414836,0.581738289
PH137503014,0.678153304,0.619819074,0.55614407
PH137503014,0.735625619,0.644294876,0.575343056
PH137503014,0.740181373,0.651513467,0.56852028
PH137603001,0.709515337,0.66272828,0.591997012
PH137603001,0.709515337,0.664063809,0.59250573
PH137603001,0.709424521,0.660684393,0.592545375
PH137603001,0.709466162,0.660346135,0.59250573
PH137603001,0.770630794,0.701178058,0.601524632
PH137603001,0.801155959,0.778828515,0.736160118
PH137603001,0.807458055,0.786267502,0.766889008
PH137603002,0.745249485,0.673201723,0.591997012
PH137603002,0.741540948,0.674149237,0.59250573
PH137603002,0.749896568,0.673925938,0.592545375
PH137603002,0.749896568,0.67408292,0.59250573
PH137603002,0.770630794,0.700551233,0.659124594
PH137603002,0.803468761,0.774542406,0.759724492
PH137603002,0.807458055,0.779825627,0.766889008
PH137603003,0.672551918,0.641288632,0.570789622
PH137603003,0.673860945,0.642690828,0.570789622
PH137603003,0.672905083,0.642059692,0.570425611
PH137603003,0.672540998,0.642352537,0.570974739
PH137603003,0.693246993,0.65598204,0.575280472
PH137603003,0.78431297,0.712686102,0.592931599
PH137603003,0.783315681,0.712635596,0.592931599
PH137603004,0.838737154,0.699195057,0.656141147
PH137603004,0.838737154,0.69938634,0.660966515
PH137603004,0.840901804,0.697188897,0.660966515
PH137603004,0.839720382,0.69638391,0.656970076
PH137603004,0.858018376,0.715157079,0.601524632
PH137603004,0.852915231,0.777971545,0.736160118
PH137603004,0.840405106,0.781750217,0.740037708
PH137603005,0.731102646,0.656874808,0.56699159
PH137603005,0.734728,0.657077643,0.56699159
PH137603005,0.731131518,0.656689725,0.56699159
PH137603005,0.731563614,0.655665763,0.56699159
PH137603005,0.785729719,0.684381156,0.542253685
PH137603005,0.812064908,0.73557865,0.585680204
PH137603005,0.809275113,0.74268422,0.591590301
PH137603006,0.789809243,0.700231203,0.607606936
PH137603006,0.792340548,0.700057816,0.604811932
PH137603006,0.789809243,0.699465256,0.6060263
PH137603006,0.789809243,0.700072184,0.597785199
PH137603006,0.785729719,0.718403389,0.659306458
PH137603006,0.812064908,0.780767779,0.711592819
PH137603006,0.809275113,0.784941061,0.74856442
PH137603007,0.739683536,0.670732325,0.570789622
PH137603007,0.739683536,0.671166202,0.570789622
PH137603007,0.739683536,0.669924466,0.570425611
PH137603007,0.739683536,0.67047195,0.570974739
PH137603007,0.741238808,0.686394067,0.603092247
PH137603007,0.828423843,0.757389039,0.597585266
PH137603007,0.836363902,0.766167261,0.620143531
PH137603008,0.750029404,0.656387754,0.560065699
PH137603008,0.750029404,0.656731125,0.558696265
PH137603008,0.750029404,0.65495331,0.559245455
PH137603008,0.74703357,0.654668225,0.559886375
PH137603008,0.785729719,0.690478241,0.589758994
PH137603008,0.804912054,0.737422128,0.595545922
PH137603008,0.809275113,0.74210192,0.625606375
PH137603009,0.789809243,0.696460643,0.60405695
PH137603009,0.792340548,0.696686567,0.60400906
PH137603009,0.789809243,0.69461506,0.599599151
PH137603009,0.789809243,0.693125848,0.598493987
PH137603009,0.782646289,0.725829141,0.601524632
PH137603009,0.801811926,0.769129057,0.726915764
PH137603009,0.793284955,0.760023127,0.651523161
